premise,entailment,contradiction,ent_score,contra_score,margin
"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",An SUV and a man are going in opposite directions.,A man is chasing an SUV that is going in the same direction as him.,0.588082,0.540094,0.047988
People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A person in a shirt,Nobody has a shirt on,0.336219,0.233793,0.102426
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a white shirt,A man is wearing a black shirt,0.540319,0.293364,0.246954
A shirtless man is singing into a microphone while a woman next to him plays an accordion.,A man is singing into a microphone.,He is playing a saxophone.,0.611245,0.262138,0.349108
Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman and kids and sitting down.,The woman is running.,0.616174,-0.006091,0.622265
A pregnant lady singing on stage while holding a flag behind her.,A woman is making music.,A woman is sick in bed.,0.461053,0.187357,0.273696
The two farmers are working on a piece of John Deere equipment.,John Deere equipment is being worked on by two farmers,2 Men are making a pool together,0.929894,0.197307,0.732587
A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,Boy dressed in red lighting things on fire.,0.886574,0.286079,0.600495
A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is writing a note.,The woman is talking on the phone.,0.789774,0.317223,0.472551
A baby at the end of a slip and slide at a party,The baby is wet.,The man is at the end of the slip and slide,0.475646,0.594574,-0.118928
A girl swings high in the air.,A girl is on a swing,A girl is laying in the pool,0.690530,0.218642,0.471888
A view of the back of a woman having a beverage.,woman has a drink,woman dumps the drink on a man,0.744949,0.478949,0.266000
A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,A person sitting,Nobody is sitting,0.438760,0.196000,0.242761
A man with a shopping cart is studying the shelves in a supermarket aisle.,There is a man inside a supermarket.,A man is watching a movie in a theater.,0.674561,0.272428,0.402133
"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The man is sitting.,"The man is reading a spoon with the words ""HELP ME"" on it.",0.433193,0.218950,0.214243
"A woman sitting outside weaving a long piece of red, white, and blue cloth.",She is working with cloth,He is jumping over a house,0.604090,0.063158,0.540932
A person powerwashing stairs leading down to a pool.,a worker cleans near the pool,a dog chases a cat,0.608464,-0.093616,0.702080
A person rides his bicycle in the sand beside the ocean.,A person is on a beach.,A person is on a boat.,0.637257,0.340578,0.296679
"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Children were looking at a bike.,Someone is riding a bike.,0.616133,0.296368,0.319765
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The dogs are swimming among the boats.,The pets are sleeping on the grass.,0.570330,0.128796,0.441534
A group of people prepare hot air balloons for takeoff.,A group of people are outside.,A group of people prepare cars for racing.,0.415796,0.425468,-0.009672
Men stand on steps leading out of a body of water,Men are standing on some steps near some water.,Men are sitting outside near a golf course.,0.919335,0.248732,0.670603
A long-beaked bird in mid-flight.,A bird flying.,A rat running on a wheel.,0.770362,0.269457,0.500905
A man in the middle east with a corn-on-the-cob cart selling corn.,"In the middle east, a man sells corn-on-the-cob from a cart.",A middle east man is throwing corn at strangers.,0.962053,0.573159,0.388895
A man in a black shirt is playing a guitar.,He is playing a song.,The man is wearing a blue shirt.,0.587749,0.273671,0.314078
"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people walking down a road.,A group of people in a motorcade driving past an audience.,0.542434,0.436262,0.106172
A woman is talking on the phone while standing next to a dog.,A woman is on the phone.,A woman is sleeping.,0.674454,0.183314,0.491140
5 women sitting around a table doing some crafts.,Five women sit at a table.,Five men stand on chairs.,0.786241,0.330988,0.455253
Street performer with bowler hat and high boots performs outside.,The person is performing.,The child is dancing inside.,0.626984,0.083886,0.543098
A young boy playing in the grass.,There is a child in the grass.,The boy is in the sand.,0.810521,0.512149,0.298372
Two men playing baseball with the one in the black and red jersey running toward base.,There is a baseball game going on.,The man in black and red is sitting in the bleachers.,0.639188,0.194791,0.444397
A man and a woman are looking at produce on display.,A man and woman are looking at produce.,Two men throw produce at each other for fun.,0.956903,0.481863,0.475040
People are throwing tomatoes at each other.,The people are having a food fight.,The people are sitting and eating their food.,0.542703,0.321452,0.221251
People standing in line of a beer and curry line.,People standing in line,People not standing in line,0.727215,0.608925,0.118291
A man and a woman are talking in a park,A pair of people are talking outdoors.,A man and woman are talking in the aquarium.,0.666058,0.605985,0.060073
A small ice cream stand with two people standing near it.,Two people standing outside an ice cream stand.,Two people selling ice cream from a car.,0.833181,0.517309,0.315872
Number 916 is hoping that he is going to win the race.,A person is competing in a race.,A person is is playing baseball.,0.454089,0.045390,0.408699
Girl plays with colorful letters on the floor.,The girl is having fun learning her letters.,The girl is playing a video game in the bath.,0.691518,0.373103,0.318415
Two men are cooking food together on the corner of the street.,The men are making something to eat.,The two men are running in a race.,0.638902,0.306790,0.332112
A man wandering in the desert as the clouds roll in.,A man wonders in the desert.,A man fights dead mummy's who magically came alive in the desert.,0.638650,0.344848,0.293802
A lady with bright orange hair walking in a crowd.,A woman is near a group of people.,The woman is asleep.,0.560291,0.078640,0.481651
A man running a marathon talks to his friend.,There is a man running.,There are people canoeing down a river.,0.424707,0.037917,0.386791
A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of people walking outside a row of shops with a man with hands in his pockets.,A lot of dogs barking outside a row of shops with a cat teasing them.,0.790566,0.205006,0.585560
A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,a boy is barefooted,the boy is flying a helicopter,0.660283,0.230445,0.429838
A group of children enjoy their time on the beach.,Children are at the beach.,A group of adults are swimming at the beach.,0.846970,0.468568,0.378402
"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",Someone is helping bathe the small baby.,The small baby is in it's crib sound asleep.,0.772196,0.316633,0.455563
An asian woman sitting outside an outdoor market stall.,A woman sits outdoors.,A woman sitting in an indoor market.,0.676325,0.710630,-0.034305
An older gentleman enjoys a scenic stroll through the countryside.,A man walks the countryside.,A pirate boards the spaceship.,0.702700,-0.014779,0.717478
A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is outdoors.,A middle aged man is sitting on a stool in a bar.,0.488226,0.375605,0.112622
Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player trying to score in a soccer game.,A player passing the ball in a soccer game.,0.509318,0.488429,0.020890
A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork.,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork,The man was watching tv,0.997777,0.189093,0.808684
A young child is jumping into the arms of a woman wearing a black swimming suit while in a pool.,Child leaping into arms of a woman wearing swimsuit in a pool.,Mother and daughter shopping for shoes.,0.906182,0.118562,0.787620
A guy waxing a wooden floor with wax.,a guy is waxing,the guy is dead,0.831730,0.314864,0.516866
This is the image of two Asian men squatting near a mop-pad.,Two young asian men are squatting.,Two italian girls are squatting.,0.717199,0.450961,0.266238
A man uses a projector to give a presentation.,A man is giving a presentation.,A man is using a projector to watch television.,0.852030,0.749312,0.102718
A young barefoot girl in a pink dress is jumping outside.,A child is playing.,The child sits in a dark room watching television.,0.331624,0.072150,0.259474
Four guys with guns and army gear.,The guys have guns.,The four guys are playing hopscotch.,0.760557,0.423725,0.336832
A man is a safety suit walking outside while another man in a dark suit walks into a building.,Men are walking  in different directions.,Men are sitting in the park.,0.496471,0.174343,0.322128
A man poses for a photo in front of a Chinese building by jumping.,The man is prepared for his photo.,The man is dancing around the building.,0.627774,0.301978,0.325796
A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background.,A black late model station wagon is in the background.,A white late model station wagon is in the background.,0.357157,0.340647,0.016511
A boy looks surly as his father looks at the camera.,a boy looks at his farther,a girl looks at her father,0.641899,0.714052,-0.072153
A boy in red slides down an inflatable ride.,A boy is playing on an inflatable ride.,A boy pierces a knife through an inflatable ride.,0.811228,0.542643,0.268584
A man is reading a newspaper in a car dealership.,A man is at a car dealership.,A man is reading a magazine at the hospital.,0.660563,0.402854,0.257708
A carefully balanced male stands on one foot near a clean ocean beach area.,A man is ouside near the beach.,A man is sitting on his couch.,0.704088,0.119102,0.584986
A man wearing a white shirt is playing the drums.,A man is playing a musical instrument.,A man is playing the trumpet with his hands tied behind his back.,0.571842,0.420295,0.151547
Three women in dress suits walk by a building.,Three women are traveling by foot.,The woman are wearing bikinis.,0.614979,0.319567,0.295412
two people are waiting for a train at a station.,They expect a train to arrive eventually.,They are both waiting for a bus.,0.584636,0.588081,-0.003445
A man in a black shirt is smiling at a woman in a black shirt what a tattoo and a eye brow ring.,A man is smiling at a woman.,A man is reading a book alone.,0.778371,0.035823,0.742548
A goalie in white runs for an approaching ball while the opponent in red who kicked it waits.,A person wearing white is running towards a ball that was kicked from another person.,The goalie is sleeping at home.,0.706633,0.325938,0.380695
"Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants.",There are people on the subway.,There are women on the subway.,0.510243,0.383771,0.126471
kids drawing something on paper,There are kids drawing.,The kids are cutting ribbons.,0.863822,0.448410,0.415411
A young woman is singing into a microphone.,The woman is singing.,The woman playing the trumpet.,0.802778,0.394065,0.408713
"Three elephants, each carrying a group of people, walking through the water.",Three elephants carry people through the water.,The elephants are performing in a circus tent.,0.944081,0.392947,0.551134
A diver is swimming with a turtle.,A turtle has a diver swimming with it.,A lion is eating raw meat at the zoo.,0.954040,0.130679,0.823361
A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man and a boy outside.,There is a kid skateboarding and a bearded man on a bike.,0.513541,0.772479,-0.258938
A young boy reaches for and touches the propeller of a vintage aircraft.,A young boy and an airplane.,A young boy swims in his pool.,0.613405,0.291920,0.321484
Indian people dressed in magnificent bright colors conduct a ritual.,Indian people having a ritual,Indian people hunting animals,0.856859,0.444067,0.412792
Two little girls ride an inflatable dinghy down a purple water slide.,Two girls on a water slide.,Barney Fife with his one bullet.,0.720712,0.081911,0.638801
A woman walks by a brick building that's covered with graffiti.,A woman is outside.,The woman is in the bathroom.,0.492029,0.275309,0.216720
Young girl with dark hair facing camera and holding a paper bag while wearing an orange shirt and multicolored butterfly wings.,A young girl faces the camera.,An old woman refuses to have her picture taken.,0.646852,0.291881,0.354972
A boy in overalls blows bubbles.,A boy is blowing bubbles.,A man is juggling in the park.,0.837127,0.165101,0.672027
Two children playing on the floor with toy trains.,The children played on the floor.,The girls slept on the floor next to the toys.,0.748381,0.499621,0.248760
"Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",Three men are in a laboratory doing a scientific study.,There are three men on a fishing boat trying to catch bass.,0.651232,0.317390,0.333841
A white dog is chasing a stuffed animal being pulled on a string.,the animal is running,the animal is sleeping,0.574362,0.249614,0.324748
Two female workers sit on some steps during work.,Two women sitting on steps at their job.,Two women sitting at their workplace desks.,0.903282,0.644703,0.258579
"A man in a blue shirt, jumping down a hill in a park.",A man is down a park,A man is sleeping.,0.649629,0.159237,0.490392
Four girls are dancing in matching outfits at a street festival.,The four girls are attending the street festival.,The four girls are playing card games at the table.,0.851941,0.353793,0.498148
"A small group of children are standing in a classroom and one of them has a foot in a trashcan, which also has a rope leading out of it.",There is a child with their foot in a garbage can near some other kids in a classroom.,A man looks at his watch at a bus stop.,0.755588,-0.123765,0.879353
A child is looking out of a door.,There is a door.,The child is asleep.,0.658178,0.355725,0.302453
A boy in a baseball cap jumps over a flight of stairs.,A boy jumping through the air.,A guy swimming in the pool.,0.676894,0.053447,0.623447
A man is sitting in on the side of the street with brass pots.,A man is sitting.,a man does not have brass pots,0.571551,0.591141,-0.019590
"A man in a blue windbreaker jacket, laying face down on a park bench, with a liquor bottle nestled by one of the bench's legs.",A man lays face down on a park bench.,A man is dancing at the club popping bottles.,0.699527,0.296743,0.402784
A woman is using clothespins to hang up laundry outside on a laundry line.,A woman is taking care of her laundry.,A woman is folding her washed laundry.,0.713040,0.628103,0.084937
A dog reaches to catch a ball with its mouth.,The dog is playing with a ball.,The dog is playing with a rope.,0.741033,0.412779,0.328254
A young boy is sitting in a green tunnel,The boy is sitting,A girl is sitting,0.633530,0.285883,0.347647
The little boy is jumping into a puddle on the street.,The boy is outside.,The boy is walking across the field with his dog.,0.599363,0.287974,0.311390
Four young men sit on the floor close to a television that is showing Elmo from Sesame Street.,Four males are sitting indoors.,Four males are playing out in the yard.,0.563170,0.264063,0.299106
"Dinner and decisions, with the crew.",the crew was having dinner,the crew all ate lunch alone,0.750010,0.356603,0.393407
Woman wearing a white donkey costume while talking to a man.,A woman is wearing strange clothing.,A woman is dancing near a fire.,0.346242,0.138607,0.207635
A boy and a girl in jackets gaze in a clothing store window.,Two kids are looking in a store window.,Two kids are flying on a hovercraft.,0.721741,0.215782,0.505959
People dressed in costumes walking down a street.,Humans wearing clothes on the street.,A naked man walking down the street.,0.717097,0.422718,0.294379
A person in a blue plaid shirt is writing on a chalkboard.,The person is writing on the chalk board.,The person is reading a book.,0.806637,0.385202,0.421434
"This mother and her daughter and granddaughter are having car trouble, and the poor little girl looks hot out in the heat.",The car that belongs to the family is having issues.,The family is driving safe and sound while the little girl is asleep.,0.516274,0.424693,0.091581
A large group of people are gathered outside of a brick building lit with spotlights.,The building is brick.,The building is made of logs.,0.478851,0.339483,0.139368
A man plays the french horn as his pianist plays the supporting melody on stage.,Two people are playing an instruments on stage.,Three guys are playing the bongos on stage.,0.512000,0.352929,0.159072
A man with a white towel wrapped around the lower part of his face and neck.,The man is covering his neck,The towel is pink and blue striped,0.619536,0.495246,0.124289
Man walking with tall buildings with reflections behind him.,The man was walking.,The man was running through the park.,0.679304,0.233765,0.445539
Excited children pass their parents on their way from the parking lot.,Children run past their parents.,The children are watching TV at home.,0.595735,0.098620,0.497115
Two boys are holding red kites with water in the background.,Persons are involved in outdoor recreation.,Two boys are watching television.,0.215086,0.327535,-0.112449
Dog herding cows,Animals are near each other.,Cats are sleeping inside the room.,0.607822,0.071734,0.536089
Men and women walking down a sidewalk next to a garden.,They are walking by the garden.,The men and women are running through the forest.,0.693385,0.474356,0.219029
a man is swimming inside of a pool,there is a man in a pool.,there is a person drowning.,0.759503,0.366049,0.393453
A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie.,A fruit market and a man,A fish market is on the docks,0.720451,0.270178,0.450273
A black and brown dog walks in the shallows of a large body of water.,The dog is in the water.,The dog is wearing a clown suit.,0.630810,0.254607,0.376203
A man jumping sideways in the ocean.,A man jumps in the ocean.,A man sits in a hotel lobby.,0.897793,0.252022,0.645771
"A woman with a bright red umbrella is jumping high in the air, she has on a knit hat and black shirt and colorful boots.",A woman in black is jumping in the air with a red umbrella.,A woman in black high heels is walking down a large staircase.,0.820810,0.380044,0.440766
A teenage girl in winter clothes slides down a decline in a red sled.,A girl is sliding on a red sled.,A girl is on a beach with a blue sled.,0.737342,0.442479,0.294863
Three men with blue jerseys try to score a goal in soccer against the other team in white jerseys and their goalie in green.,The men are playing soccer.,"Some men with jerseys are in a bar, watching a soccer match.",0.593616,0.531492,0.062125
A dog leaps into the air in a grassy field surrounded by trees.,A dog is in a grassy field filled with trees.,A dog is sleeping in a grassy field surrounded by trees.,0.770595,0.540792,0.229803
A man with a large power drill standing next to his daughter with a vacuum cleaner hose.,A man holding a drill stands next to a girl holding a vacuum hose.,The man and girl are painting the walls.,0.817078,0.254481,0.562596
"Three girls are standing together in a room, one is listening, one is writing on a wall and the third is talking to them.",The girls are indoors.,The girls are outdoors.,0.629437,0.428718,0.200719
Three children dressed in winter clothes are walking through the woods while pushing cargo along.,Three children are dressed in warm winter clothes.,Three childre are dressed in summer clothes.,0.710340,0.583735,0.126606
A man is sitting outside wearing blue pants.,There is a person wearing pants.,The person is inside.,0.568164,0.282406,0.285758
"A woman is looking into a mirror, brushing her hair.",A woman is brushing her hair.,The woman is taking a shower.,0.724507,0.386463,0.338044
Two players are on a wet field and one is on the ground.,There are people in a field.,Both people are standing up.,0.628968,0.324322,0.304646
A little baby with dirty fingers and smudges on her face points to her blue eye.,The baby is dirty.,A baby points at her green eye.,0.644379,0.717524,-0.073145
A couple sitting in white lawn chairs are smiling at the camera.,Two people are posing for a photograph.,A woman is standing alone.,0.546381,-0.061693,0.608074
Five people are sitting on horses at a rodeo.,A group of people are sitting on horses.,Bandits are sitting on horses as they prepare for a robbery.,0.737032,0.482873,0.254159
"Nine women in white robes with hoods walk on plush, green grass.",The women each have one head.,The woman is alone and asleep in her bedroom.,0.307194,0.028582,0.278612
A man in a blue shirt is in a lab looking into a microscope.,A man looking into a microscope in a lab,A man is sleeping in the park bench,0.879470,0.068181,0.811289
An indian man walks past a temple on his way to pray.,A man is heading to his house of worship.,A man fell into the swimming pool.,0.537108,0.119837,0.417271
Masked actors perform traditional Japanese theater.,There are multiple people present.,There is only one person present.,0.224779,0.085838,0.138941
A man in a green Celtic sleeveless jersey shirt and short stone washed jean shorts sitting and eating.,The man is having a meal.,The man is wearing a Cowboys jersey.,0.564302,0.361401,0.202901
A middle-aged man's shaving his beard in a room with white walls which does n't look like a bathroom.,a man is shaving,a man sleeps,0.710515,0.214483,0.496032
Young man walking dog,The man is with his dog.,The man is walking his cat.,0.600927,0.433063,0.167864
"a large house with three stories and 3 matching balconies, with one person standing on each balcony overlooking onlookers.",The house has balconies.,The house is single storied.,0.625583,0.433113,0.192470
One woman with a dark coat on walking by herself in a city.,The woman is outdoors.,The woman is standing in a building.,0.482543,0.299200,0.183343
"A man with a hat, boots, and brown pants, is playing the violin outside in front of a black structure.",A man is playing the violin.,A homeless man has stolen a child's violin in order to fulfill his fantasy of joining the London Symphony Orchestra.,0.667905,0.420752,0.247154
Two kids are standing in the ocean hugging each other.,Two kids are outdoors.,The children are playing basketball.,0.594527,0.209248,0.385279
A crowd of people are watching hot air balloons inflate.,People watching hot air balloons inflating.,One person watching a plane prepare for a sky diving trip.,0.930841,0.323032,0.607809
A little girl with a hat sits between a woman's feet in the sand in front of a pair of colorful tents.,The girl is wearing a hat.,The girl and woman are inside.,0.569111,0.351995,0.217117
A dog licks his nose.,A dog is licking his nose.,A cat is licking his fur.,0.961996,0.636905,0.325092
A man and women are dancing together on the street.,A man and woman are dancing together.,A cat is hissing at something.,0.776974,-0.009579,0.786553
"A brown dog is laying on his side on a beige carpet, with a green object in the foreground.",A brown dog is laying on the carpet with a green thing next to it.,The dog is dead.,0.922916,0.381478,0.541439
A girl with brown hair and a brown shirt is building a gingerbread house.,The girl has brown hair.,The girl has blonde hair.,0.601951,0.447943,0.154008
A black dog in front of a waterfall.,A dog is in front of a waterfall.,A dog is dancing while it rains.,0.910742,0.511338,0.399403
A girl in a striped black and white sweater holds on to her friend who is bent over wearing a hooded black sweater and torn blue jeans.,The girl is touching her friend.,The girl is alone in her bedroom asleep.,0.685207,0.079206,0.606001
Two girls with long brown hair sit on the floor with a view from the window behind them showing a town.,Two girls with long brown hair sit on the floor,Two girls with long brown hair sit on the spaceship,0.830527,0.650863,0.179664
Man in a military outfit handing something in a plastic bag to a group of children outside near a brown building.,A man is handing a plastic bag to a group of children.,A man in civilian clothes hands a bag to a group of children.,0.757398,0.797223,-0.039825
A man and a woman sit on a deck under a blue sky that is about to be overtaken by tumultuous clouds.,There are many clouds in the blue sky.,The man and woman are sitting at home.,0.552666,0.343549,0.209117
"Two women stand on a beach and perform stretches or yoga together, facing towards the water and away from the camera.",Two people are exercising outside.,Two people are jogging on a path through a tunnel.,0.438202,0.288650,0.149552
"People in a grocery store crowd around to watch a Tv, except one man who walks toward the camera.",There is a man walking towards a camera.,The people are crowded around a street performer.,0.413283,0.289370,0.123913
A child holds a football and runs from other children.,There is more than one child.,The children are all sitting down.,0.574359,0.279580,0.294779
"A black man, wearing a cap, is sitting in a bus.",A man is traveling on public transportation.,A guy fastens his seatbelt before he starts his car.,0.478941,0.215223,0.263718
A man is walking away from tents with the word Camden on them.,The man is walking.,The tents do not have anything written on them.,0.445604,0.387291,0.058313
Two women with badges are watching something.,Two people are looking at something.,Two men are eating outside.,0.481608,0.072470,0.409138
A happy boy is jumping in front OD city fountain.,There is a boy near a fountain.,The boy is standing still in the fountain.,0.647592,0.520092,0.127500
A boy walking away from two Camden tents with a group of people behind him.,A person walking away from a tent,A person building a tent,0.658330,0.258999,0.399330
A man rides a kicking bull in a bullpen.,The man is riding a bull.,The man is riding a sheep.,0.755216,0.183020,0.572196
"Two kids on a boat, one with a paddle, and the other on the edge wearing a life vest.",A kid is wearing a life vest.,Two kids are sleeping in bed.,0.529293,0.312696,0.216598
"Two basketball players in black and white outfits are standing on a basketball court, talking.",The two basketball players are conversating.,The two basketball players are sitting on the bench.,0.789263,0.509444,0.279819
A man and a woman hug on a grassy hillside overlooking the countryside in the distance.,The man and woman are outdoors.,The man and woman are at a skating rink.,0.565439,0.262583,0.302857
A man and a young boy are eating on a city sidewalk next to a cardboard box and a red shopping cart.,a man eating with a young boy on a city sidewalk,father and son watching television at home,0.850774,0.200653,0.650120
A young blond girl dressed in pink is lying on the floor next to some brown dominoes.,a girls lays next to dominos,a bird eats a frog,0.712029,0.026498,0.685531
A man is holding a both a sleeping toddler and a sleeping baby on his lap.,A man holds two sleeping children.,A toddler and baby play together while their father looks on.,0.606616,0.451326,0.155290
People on a concrete area taking pictures.,people take pictures,boy sleeps alone,0.815512,-0.078756,0.894268
A blond woman shows her profile in front of a white luxury car.,A woman shows her profile in front of a white luxury car.,A brunette woman shows her profile in front of a white luxury car.,0.924289,0.902266,0.022022
A musical group performing on a green carpet in front of small televisions.,A group is playing a song near some TVs.,The school band is walking to band hall.,0.685258,0.253077,0.432181
Three workers are trimming down trees.,There are three workers,There are three business men,0.602745,0.356453,0.246292
A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags.,A girl is playing with a Slinky.,The Slinky is black.,0.652041,0.327306,0.324735
"A young man attempts to pole vault over a bar, barely inches away from it mid flight.",A young man is pole vaulting.,A young man throws a shotput.,0.732451,0.311045,0.421406
People sit around a circular bar.,people sit at a bar,people sit around a bus stop,0.820466,0.509345,0.311121
A woman is holding a sign that says honk to indict bush.,The woman is touching the sign.,The woman is swimming in her pool.,0.705385,0.111955,0.593430
Police officer with riot shield stands in front of crowd.,A police officer stands in front of a crowd.,A police officer teaches two children something.,0.857870,0.341895,0.515975
A girl is using an apple laptop with her headphones in her ears.,with headphones on the girl used a computer,Working at her Dell Window 7 computer the girl talked on speaker phone with her friend,0.660498,0.446763,0.213735
A boy is standing at the edge of a wave with the sun setting or rising in the background.,Child is outdoors.,A boy is school.,0.430902,0.350483,0.080419
Several men in protective suits are rolling a man on a gurnee.,A man is on a gurney,Zombies are leaving the hospital,0.278626,0.016174,0.262452
A construction worker is standing on a crane placing a large arm on top of a stature in progress.,A person standing,Nobody is standing,0.546560,0.267274,0.279286
"Two Asian children, a boy and a girl, the girl looking squarely at the camera and the boy making a face.",there are children near the camera,the children are sleeping in their rooms,0.664694,0.158852,0.505842
A man is jumping unto his filthy bed.,The bed is dirty.,The man is on the moon.,0.676755,0.130740,0.546015
A gentlemen dressed in a purple shirt with a red apron selling items to eat at a sport event held during the day in the summer time.,There is a person and food.,There is a person selling food inside a fancy restaurant.,0.489540,0.451528,0.038013
"Multiple women are wearing middle eastern outfits of gold, blue, yellow and red and performing a dance.",There are at least 2 women.,The woman is alone and asleep in her canoe on the moon.,0.541821,0.054341,0.487480
a couple is walking down the sidewalk with their dog.,A couple is outside with their dog.,A couple is walking their cat to the vet.,0.836801,0.556424,0.280377
Sidewalk vendor dressed in white shirt brown pants sells grilled corn.,There is a person in this picture,The corn is chasing the rainbow,0.280976,0.339002,-0.058026
Taller runner in orange and smaller one in blue run side by side around track in crowded stadium.,Two people are running together in the stadium.,The people are laying in the grass at the park.,0.596913,0.082895,0.514018
man grilling fish on barbecue,The man is cooking fish.,The man is sailing a boat.,0.739447,0.297510,0.441937
The quarterback of the UTEP football team is about to be tackled by a member of the Wisconsin defensive team.,The quarterback is about to be tackled by the opposing team.,The quarterback is a taking photos of the defensive team.,0.825574,0.545053,0.280521
A kid in a red and black coat is laying on his back in the snow with his arm in the air and a red sled is next to him.,It is a cold day.,The sled is blue.,0.349071,0.317004,0.032067
"A cyclist in neon yellow uniform rides past spectators behind a yellow banner reading ""Lotos.""",A cyclist is biking past spectators.,A cyclist is taking a water break.,0.668715,0.335695,0.333020
Young man running towards a tennis court while another is waiting in the other side of the net.,A young man is running.,A young girl is running to a soccer field.,0.607604,0.285849,0.321755
A white-haired man in a white shirt looks at information in an orange-red binder.,The man looks at a binder.,A man is a secret agent orange peeler.,0.756306,0.317621,0.438686
A group of people standing in the snow with a mountain in the background.,People are outside.,People are lounging outside on the scalding beach.,0.556484,0.296419,0.260065
"A young woman seated at a table on what appears to be a backyard deck holds a toddler, giving him a toy or bottle of some sort, while smiling into the camera.",A woman is playing with a toddler.,The woman is changing the boy's diaper.,0.514109,0.275132,0.238977
Three men look on as two other men carve up a freshly barbecued hog in the backyard.,Others look while two men carve a babecued hog,Other look while a man carves beef,0.662986,0.437893,0.225093
